,cell_type,sex,race,count,percentage
406,natural killer cell,female,South Asian,368,0.13583947317908662
407,plasmacytoid dendritic cell,female,South Asian,12,0.004429548038448477
408,plasma cell,female,South Asian,14,0.0051678060448565565
409,naive B cell,female,South Asian,208,0.07677883266644027
410,"CD8-positive, alpha-beta cytotoxic T cell",female,South Asian,519,0.19157795266289665
411,gamma-delta T cell,female,South Asian,1,0.00036912900320403973
412,mature NK T cell,female,South Asian,6,0.0022147740192242386
413,regulatory T cell,female,South Asian,91,0.03359073929156762
414,classical monocyte,female,South Asian,2495,0.9209768629940792
415,non-classical monocyte,female,South Asian,383,0.14137640822714723
416,"naive thymus-derived CD4-positive, alpha-beta T cell",female,South Asian,51,0.018825579163406027
417,"naive thymus-derived CD8-positive, alpha-beta T cell",female,South Asian,4,0.001476516012816159
418,"central memory CD8-positive, alpha-beta T cell",female,South Asian,140,0.051678060448565565
419,"effector memory CD8-positive, alpha-beta T cell",female,South Asian,37,0.01365777311854947
420,"CD4-positive, alpha-beta cytotoxic T cell",female,South Asian,46,0.016979934147385828
421,"CD16-negative, CD56-bright natural killer cell, human",female,South Asian,55,0.020302095176222185
422,mucosal invariant T cell,female,South Asian,5,0.0018456450160201985
423,class switched memory B cell,female,South Asian,121,0.04466460938768881
424,plasmablast,female,South Asian,1,0.00036912900320403973
425,conventional dendritic cell,female,South Asian,143,0.05278544745817769
426,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,South Asian,285,0.10520176591315132
427,hematopoietic precursor cell,female,South Asian,3,0.0011073870096121193
428,native cell,female,unknown,24,0.008859096076896954
429,platelet,female,unknown,2,0.0007382580064080795
430,B cell,female,unknown,1,0.00036912900320403973
431,dendritic cell,female,unknown,2,0.0007382580064080795
432,CD4-positive helper T cell,female,unknown,282,0.1040943789035392
433,natural killer cell,female,unknown,294,0.10852392694198768
434,plasma cell,female,unknown,3,0.0011073870096121193
435,naive B cell,female,unknown,1481,0.5466800537451829
436,"CD8-positive, alpha-beta cytotoxic T cell",female,unknown,118,0.04355722237807669
437,mature NK T cell,female,unknown,1,0.00036912900320403973
438,regulatory T cell,female,unknown,118,0.04355722237807669
439,classical monocyte,female,unknown,505,0.18641014661804006
440,non-classical monocyte,female,unknown,8,0.002953032025632318
441,"naive thymus-derived CD4-positive, alpha-beta T cell",female,unknown,1806,0.6666469797864958
